"","time","ABi","ABo","Tau","Fi","Fo","A","M1","M2","N"
"1",1,1e-06,1e-08,1.37e-10,3.36e-10,3.36e-11,0.14,0.02,0.02,0.14
"2",2,1.1136829666795e-06,1.87929082888079e-08,1.75678739841014e-10,3.35331471343149e-10,3.36366685744126e-11,0.140735584127686,0.0201773258957513,0.0197497474963606,0.139979012197821
"3",3,1.17407906098651e-06,2.75032071658619e-08,2.0573980421725e-10,3.34721337313491e-10,3.36732397340031e-11,0.141478219738569,0.0203522370537191,0.0195032420469336,0.139958047484191
"4",4,1.2389676967647e-06,3.61313533068141e-08,2.29401388704424e-10,3.34156133303591e-10,3.37097210855645e-11,0.142227777957422,0.0205247723381124,0.0192604218031592,0.139937104153536
"5",5,1.29369391246294e-06,4.4678683572026e-08,2.48156324044825e-10,3.33626793200575e-10,3.3746117954713e-11,0.142984145762233,0.0206949658658652,0.019021232538965,0.139916181011975
"6",6,1.35352439823087e-06,5.31459764218645e-08,2.63037883002158e-10,3.33127037911904e-10,3.37824342070973e-11,0.143747222286471,0.0208628481067932,0.0187856258721738,0.139895277193097
"7",7,1.41385910165975e-06,6.15342637806553e-08,2.74877641596794e-10,3.3265181109778e-10,3.38186730881037e-11,0.144516909600078,0.0210284486567512,0.0185535548374449,0.139874391969961
"8",8,1.47380928581015e-06,6.98445186487786e-08,2.84348055334836e-10,3.32197020615147e-10,3.3854837374143e-11,0.145293109698341,0.0211917971468176,0.0183249724423927,0.139853524721147
"9",9,1.53314888629053e-06,7.80780144734568e-08,2.92240240276568e-10,3.31757849605879e-10,3.38909304512607e-11,0.146075692609567,0.0213529328812069,0.0180998163733415,0.139832674689446
"10",10,1.59323359006836e-06,8.62358186087549e-08,2.98975937125583e-10,3.31331722622774e-10,3.3926954471489e-11,0.146864546521503,0.0215118896928718,0.0178780330398651,0.139811841395628
"11",11,1.65391805611764e-06,9.43189422037354e-08,3.04815328357659e-10,3.30917044396543e-10,3.39629110551477e-11,0.147659567066214,0.0216686991737669,0.0176595724316015,0.139791024480139
"12",12,1.71398734055944e-06,1.02328384595736e-07,3.09956417120174e-10,3.30512596692002e-10,3.39988016274067e-11,0.148460652157128,0.0218233922313711,0.0174443856404386,0.13977022362734
"13",13,1.77348114450197e-06,1.10265113604535e-07,3.14561328291911e-10,3.30117378683347e-10,3.40346275073766e-11,0.149267700628152,0.0219759994989713,0.0172324242073389,0.13974943854541
"14",14,1.83341022287862e-06,1.18130069904334e-07,3.18759434540839e-10,3.29730588019675e-10,3.40703899169879e-11,0.150080612299603,0.0221265513155068,0.0170236401537769,0.139728668964265
"15",15,1.89382270461888e-06,1.25924192371021e-07,3.22650025253463e-10,3.2935160469746e-10,3.41060899868231e-11,0.150899288255385,0.022275077641482,0.0168179861144348,0.139707914634172
"16",16,1.95390661097975e-06,1.33648414689144e-07,3.26307806668778e-10,3.2897995775457e-10,3.41417287713214e-11,0.151723630994452,0.0224216080127508,0.0166154154095209,0.139687175322278
"17",17,2.01357358416631e-06,1.41303642445932e-07,3.29788912480629e-10,3.28615288851436e-10,3.41773072663844e-11,0.152553544464537,0.0225661715299163,0.0164158820606021,0.139666450808605
"18",18,2.07348122693941e-06,1.48890753845049e-07,3.33135776019825e-10,3.28257322743157e-10,3.42128264239628e-11,0.153388934044447,0.0227087968633755,0.0162193407817964,0.139645740882741
"19",19,2.13374508246504e-06,1.56410618751197e-07,3.36380630839126e-10,3.27905846062363e-10,3.42482871626238e-11,0.154229706515431,0.0228495122617679,0.0160257469657477,0.139625045341428
"20",20,2.19383610551615e-06,1.63864099994978e-07,3.39547997450952e-10,3.27560692246915e-10,3.42836903750652e-11,0.155075770035147,0.0229883455597047,0.015835056670869,0.139604363986851
"21",21,2.25362484972178e-06,1.71252038703464e-07,3.42656517054435e-10,3.27221730425801e-10,3.43190369336455e-11,0.155927034115416,0.0231253241843933,0.0156472266104178,0.139583696625383
"22",22,2.31353473895854e-06,1.78575253056086e-07,3.45720348072327e-10,3.26888856954976e-10,3.43543276945882e-11,0.156783409602077,0.0232604751616591,0.0154622141425831,0.13956304306662
"23",23,2.37369981903693e-06,1.85834550845422e-07,3.48750239591875e-10,3.26561988911446e-10,3.43895635012121e-11,0.157644808655611,0.02339382512175,0.0152799772609578,0.139542403122659
"24",24,2.43377957569143e-06,1.93030731949891e-07,3.51754334171885e-10,3.26241059227566e-10,3.44247451863499e-11,0.158511144732691,0.0235254003048804,0.0151004745854645,0.139521776607539
